Name,Rating,Date,Review
Brian Ricard Wola,5 bintang,5 tahun lalu,"Universitas Negeri Surabaya (Unesa) adalah perguruan tinggi negeri di Surabaya, Indonesia, yang berdiri pada 19 Desember 1964. Pada awal berdirinya, Unesa bernama Institut Keguruan dan Ilmu Pendidikan Surabaya (IKIP Surabaya). Berdasarkan Keppres RI No. 93 Tahun 1999, IKIP Surabaya berubah menjadi Universitas Negeri Surabaya."
Ethereal,5 bintang,3 minggu lalu,"Tempatnya bagus dan nyaman, tetapi untuk ojol kayaknya gak boleh ngetime disitu"
Vincenzo Cassano,1 bintang,6 bulan lalu,"universitas negri,muridnya terbaik semua,tapi salah satu mahasiswinya ada yg tidak bertanggung jawab,habis nabrak org langsung lari,dimohon ya untuk mengajarkan para murid kalian bertanggung jawab,pake almamater unesa,habis nabrak org lgsg kabur,kasian universitas dipermalukan dengan mahasiswi seperti itu"
Muhammad Andika Putra,5 bintang,Diedit 2 tahun lalu,"Mantab, salah satu kampus yang terletak di Surabaya. Kampus yang sangat terkenal akan Pendidikan nya dan Guru Gurunya.
Kampus nya luas"
Annamaulidiyatur Rizkiyah,5 bintang,3 tahun lalu,Senang sekali kalo di kampus utama Unesa ini karena udaranya lebih segar dan sejuk karena banyak pepohonan dibandingkan dengan di lidah
MOHHAMAD FARID,5 bintang,2 tahun lalu,Kampus unesa ketintang terdapat banyak pohon yang cukup bermanfaat untuk mengurangi hawa panas
Mei Maulidta,5 bintang,2 bulan lalu,Mayan dingin tapi kalau udh panas panas banget kalau hujan kdang juga banjir
Prisetyo W.U.K (Tyas),5 bintang,4 tahun lalu,"Unesa sekarang sudah lebih bagus, banyak gedung"" yang sudah di perbaiki, danaunya juga bagus."
Vidi Januar Hadi Prayoga,5 bintang,setahun lalu,universitas dengan fakultas ilmu olahraga terbaik dan terlengkap yang ada di jawa timur....👍🏻 …
Suci Wulandari,5 bintang,3 tahun lalu,"tempatnya bagus dan luas, sejuk banget dibawah pohon deket danau. makanan di kantin juga murah dan enak👍👍 …"
RIZZ _4,5 bintang,setahun lalu,"Salah satu universitas impian karena kakak"" saya berkuliah disini🤩🤩 …"
Retno Nurmayanti,5 bintang,4 bulan lalu,"Masjidnya bagus dan pengelolanya ramah..
👍👍 …"
bagus aditya panji kusuma,5 bintang,2 bulan lalu,Saya Bangga punya anak kuliah di Unesa
Dellia Moelina,1 bintang,setahun lalu,Universitas yg gak peduli sama anabul . Ada Salah satu dosen yg gak cinta sama anabul . Kucing yg bernama latte udah dirawat sebagian sama mahasiswa malah seenaknya sendiri dibuang . Padahal sama mahasiswa dirawat udah di steril dan kalau …
Al Hayyu Nabila Naziihah,5 bintang,5 bulan lalu,Aku rate bintang 5 biar lulus cumlaude disini
Ummu Jamilah alislami,5 bintang,setahun lalu,"dokter sama perawatnya ramahh bangettt, tempat nya juga bikin nyamannnn, yang lebih the best lagii harga terjangkau"
Irwan Dianto,5 bintang,11 bulan lalu,"Pembangunan berlangsung signifikan, setiap tahun selalu ada penambahan gedung dan prasarana lainnya"
Aca Yon,2 bintang,setahun lalu,"sarana prasarana salah satu jur di vokasi kurang. Banyak atap yang bolong, lab tidak memadai, tenaga pendidik yang terbatas namun daya tampung membludak. jadinya online terus udah kaya UT saja. Mohon tingkatkan lagi:( tidak sesuai dengan UKT besar yang dibayarkan"
airlangga sinatria,5 bintang,5 bulan lalu,Kampus nya bersih dan hijau bagus juga
YEDIJA RULI DWIPUTRA,5 bintang,2 bulan lalu,Ya pembangunannya rapi
Fuad Rosyidi,5 bintang,setahun lalu,"Tempatnya sekarang jauh lebih baik, tertata rapi, bersih dan nyaman. Unesa lebih terlihat luas. Mantap.."
achmad syahrul,4 bintang,setahun lalu,Kalau musim hujan disarankan untuk membawa perahu karet untuk emergency. Masih asri dan enak suasananya.
NurulSaja,5 bintang,Diedit 3 tahun lalu,Bagus. Fasilitasnya juga oke
Ida Nurul,5 bintang,setahun lalu,Kampus ketintang luas ada danau dan adem banyak pohon2 anakqu ngampus disini di fak Ilkom
Brimob Bondowoso,5 bintang,3 tahun lalu,"Fasilitas Nyaman untuk belajar, Luas dan Bersih"
Neni Ratna Yuliani,5 bintang,2 tahun lalu,"Agustus 2022 saya pernah ke sini, mengantarkan putra saya yang mau memulai masa PKKMB. Meskipun didominasi bangunan lama, ada satu gedung baru dan modern milik Fakultas Ekonomika dan Bisnis. Banyak pohonan, areanya luas sekali. Alhamdulillah putra saya diterima di sini melalui jalur SNMPTN."
Nekozuma Fathur,5 bintang,Diedit 3 tahun lalu,"kampusnya luas, mahasiswa sudah mulai kuliah offline, banyak fasilitas yang dapat digunakan, ada masjid dan ketika Ramdhan masjid unesa menyediakan takjil untuk berbuka, kamar mandi, foodcourt/kantin yang selalu buka dengan banyak pilihan …"
Sufi Indiyah,5 bintang,setahun lalu,"Kurang seberapa paham sebenarnya
Tapi senang saja punya pengalaman baru antar anak tes utbk dan masuk ke Unesa kampus I"
riady backup,3 bintang,2 bulan lalu,traffic akses macet
Rahmita Mita,5 bintang,4 tahun lalu,"Saya mempunyai banyak kenangan di kampus ini tepatnya di fakultas Reebok sweet memory yang tidak akan pernah terlupakan seumur hidup 🤗, Terima kasih unesa sekarang saya sudah bisa menggapai cita"" saya🏆. …"
Enny Ratnawati,5 bintang,2 tahun lalu,"Kampus tempat anak saya kuliah di ketintang.tempatnya enak dan sejuk
Makanan juga banyak tersedia
Semoga berkah menuntut ilmunya"
Theda Priya,4 bintang,5 tahun lalu,"Lingkungan Bersih
Masjid Utama Nyaman
Pagar Utama (Utara) tutup jam 23.00 …"
Ria Aprilia,2 bintang,2 tahun lalu,"Auditorium AC tidak dingin, kamar mandi kotor. Semoga fasilitas lebih bisa dirawat lagi untuk kedepannya"
fifan Fani,5 bintang,3 tahun lalu,"Alhamdulillah Merasa bersyukur anak kesayangan bisa masuk di UNESA
mayoritas mahasiswi nya 99% berhijab dan  attitude sangat bagus 😘 …"
Nuris Syava Cahyaningtyas,5 bintang,3 tahun lalu,"Kampusnya keren, bersih dan asri"
Asna An,4 bintang,3 tahun lalu,"Di kampus Unesa Ketintang ada beberapa fasilitas seperti food court/pujasera, masjid, danau kampus, beberapa gedung  fakultas, lapangan sepakbola, lapangan basket, dll"
shogasusantyo hs,5 bintang,2 tahun lalu,Kami sangat bangga menjadi warga Surabaya yg memiliki universitas negeri Surabaya .. kampus yg luas dan lengkap fasilitas nya
Amir Maulana,5 bintang,6 bulan lalu,Tempat UTBK aku nih
Maulana Haidar,1 bintang,4 bulan lalu,"BURUK.... FASILITAS, WEB, SEMUA BURUK"
Vian Arianto,5 bintang,2 tahun lalu,"Salah satu kampus besar di Surabaya. Terdapat empat fakultas untuk Unesa yang berada di Ketintang yaitu, Ilmu sosial dan hukum, ekonomi, MIPA, dan teknik"
Sukarman Lalangon,5 bintang,2 tahun lalu,Kami SMAN 2 sumenep siswa didampingi para guru berkunjung disambut dg layanan yg santun kampus sejuk asri👍 …
Dea Merina,4 bintang,5 tahun lalu,Luas dan lengkap. Kalo pagi atau sore visa jadi tempat jogging yg nyaman karna ada danaunya
Sahari Agus,5 bintang,3 tahun lalu,"tempat nYa nyaman adem.. dan orang"" ramah terutama satpam ramah dan baik hati... kampus yg besar pasti terdapat orang"" yg baik ramah dan santun..."
Wahyudi Nugroho,5 bintang,5 tahun lalu,Terdapat sarana jogging track dan taman yg bisa dimanfaatkan masyarakat umum untuk berolah raga..Sangat Bermanfaat ☺️
Badika Napitu,5 bintang,setahun lalu,Anak ku yang pertama kuliah di Fakultas Hukum. Terpujilah Tuhan Yesus...
intan dewi,5 bintang,6 tahun lalu,"Mantap....dosen2 yg profesional dibidangnya menjadikan pendidikan lebih bermutu.best moment with friends, S2 pend.matematika"
Iwan Sutanto,5 bintang,2 tahun lalu,Bumi kandung tempat aq digodok di kawah candra dimuka hingga jadi sarjana yang saujana kata dosenku dulu
Farid Satria,5 bintang,3 tahun lalu,Mantab kampus fasilitas nyaman
M.U.M.U Sofia,5 bintang,3 tahun lalu,jalanan aman buat driver pejuang receh.. tetap semangat untuk mencari nafkah
Christine Christine,5 bintang,2 tahun lalu,Kampus yg ramah lingkungan krn byk pohon rindang sehingga terasa nyaman..
GARUDA OUTBOUND,5 bintang,3 tahun lalu,"Masih sepi,belum ada kuliah tatap muka sepertinya"
Ibnu Siswanto,5 bintang,5 tahun lalu,"Agak sepii.. blom ada aktivitas.

Masih ada sebagian yg blajar daring."
Albert Tensi,5 bintang,Diedit 6 tahun lalu,Mengikuti Kuliah PPG utk menjdi Guru Profesional mulai Juni 2019
Eko Budiadi,5 bintang,2 tahun lalu,Kampus Yg cukup Nyaman ditengah kota dgn rimbunan pepohonan
Darmanto,5 bintang,2 tahun lalu,"kampusku tercinta, skrg sdh PTNBH, makin mantab, semakin semakin jaya"
Syafia Syafa'ah,5 bintang,5 tahun lalu,"Ada dua gerbang ya, Gerbang utara adalah Fakultas Ilmu Sosial dan Hukum, kalo dari Gerbang Selatan ada Fakultas Teknik dan FMIPA"
Annda Harisa,1 bintang,setahun lalu,bispak unesa sasing dini angkatan 21 was here
Kingkin Karimah,5 bintang,2 tahun lalu,Sungguh menyenangkan
Eddy Sastrawan,5 bintang,setahun lalu,Mengikuti PPG daljab 1 tahun 2023 dosennya keren dan profesional
Luluk Nur Azizah,4 bintang,5 tahun lalu,universitas ini sangat luas dan juga sangat  bersih . fasilitas juga sangat lengkap sehingga kita bisa merasa sangat nyaman.
Iktiar Ramadani,5 bintang,2 tahun lalu,"Menurut pengalaman saya ke sana, universitas ini merupakan universitas idaman semua orang"
Bajaj Bajuri,5 bintang,3 tahun lalu,Bersih dan asri
Fitri Setyaningrum,5 bintang,4 tahun lalu,"Semoga tetap jaya, semoga para mahasiswa/i skrg nilainya murni semua"
Tiara Rahma,5 bintang,3 tahun lalu,Kampus tercinta🖤 …
achmad yani,5 bintang,3 tahun lalu,Suasana kampus yang nyaman
rahma Wati,5 bintang,setahun lalu,Kampus terbaik itulah impian ku
anjib effendy,5 bintang,11 bulan lalu,Tempat nya bagus
MOH. YUNUS,5 bintang,4 bulan lalu,Keren
sevia yani,5 bintang,3 tahun lalu,Cari makan di sini banyak menu dan enak harga terjangkau.... 🙏 …
nurul fadilah,5 bintang,3 tahun lalu,"mienya enak dan pangsitnya bikin ketagihan ,levelnya pedes juga 😍😍😍 …"
Zona Sepatu Murah,5 bintang,3 tahun lalu,Kampus penuh barokah insyaallah Amin... Bravo historia07 😇🎉 …
Muhammad Maulana hanif,4 bintang,4 tahun lalu,Lapangan nya bagus tapi kalo buat siang panas
magda ilona,5 bintang,4 tahun lalu,🧡 …
cimol,5 bintang,6 bulan lalu,Suka kuliah disini
Naufal El Fany,3 bintang,2 tahun lalu,Pengalaman pertama ke kampus ini lumayan bagus.
22_Nayef Harits Putra,1 bintang,setahun lalu,Kecewa aku sama Universitas ini sangat kecewa
Brilandien Nurazizah,4 bintang,Diedit 3 tahun lalu,"Kampuss ku,tempatnya nyaman dan rindang❤🤗 …"
Agus Prianto,5 bintang,3 tahun lalu,👍👍sangat terkenal dan jadi idola para siswa.....👍👍🙏🙏👏👏 …
Lukman Henderson,5 bintang,setahun lalu,Pernah terpikir kuliah di sini
Wasum Diwa,5 bintang,6 tahun lalu,Ikut berkunjung ke UNESA.
SIS Onetwo,5 bintang,setahun lalu,Juosss membantu sekali.... good job
Mohamad Romadhon,5 bintang,5 tahun lalu,tempat yg bagus tertata rapi.
People Ayo,1 bintang,2 tahun lalu,Kebersihan kantinnya perlu di perhatikan
Jatmiko Datu,4 bintang,setahun lalu,Pusat pendidikan tinggi di Unesa Surabaya
Mch. Zidan,5 bintang,11 bulan lalu,❤
micholas khoir,5 bintang,4 tahun lalu,"Kampusnya luas, nyaman dan enak"
M.Zidan Nurfatah,5 bintang,11 bulan lalu,❤❤
Wantonius D' Silverfangs,5 bintang,5 tahun lalu,Tempat bagus dan fasilitasnya nyaman 😀 …
